    • 5  | Cryin'                                  | Guitar Hero 6   
    • 5  | Laid To Rest                            | Guitar Hero: SH 
    • 5  | Rock This Town                          | Guitar Hero 2   
    • 5  | So Lonely                               | Guitar Hero 5   
    • 5  | Synchronicity II                        | Guitar Hero: 80s
    • 5  | Free Ride                               | Guitar Hero 6   
    • 5  | The Seeker                              | Guitar Hero 3   
    • 5  | Beautiful Girls                         | Guitar Hero: VH 
    • 5  | Maiden, Mother & Crone                  | Guitar Hero 5   
    • 5  | YYZ                                     | Guitar Hero 2   
    • 5  | Re-Ignition (Live)                      | Guitar Hero 6   
    • 5  | Nothin' But A Good Time                 | Guitar Hero: SH 
    • 5  | Same Old Song & Dance                   | Guitar Hero 3   
    • 5  | Woman From Tokyo ('99 Remix)            | Guitar Hero 5   
    • 5  | Burnin' for You                         | Guitar Hero 6   
    • 5  | Stop!                                   | Guitar Hero 2   
    • 5  | Come To Life                            | Guitar Hero: VH 
    • 5  | Cherub Rock                             | Guitar Hero 3   
    • 5  | Holy Diver                              | Guitar Hero: 80s
    • 5  | Lazy Eye                                | Guitar Hero: WT 
    • 5  | Crazy on You                            | Guitar Hero 2   
    • 5  | No One Knows                            | Guitar Hero 1   
    • 5  | Feel The Pain                           | Guitar Hero: WT 
    • 5  | Thunderhorse                            | Guitar Hero 2   
    • 5  | Antisocial                              | Guitar Hero: WT 
    • 5  | Take It Off                             | Guitar Hero 1   
    • 5  | (Bang Your Head) Metal Health           | Guitar Hero: 80s
    • 5  | FTK                                     | Guitar Hero 2   
    • 5  | Love Spreads                            | Guitar Hero: WT 
    • 5  | Thunder Kiss 65                         | Guitar Hero 1   
    • 5  | The Middle                              | Guitar Hero: WT 
    • 5  | War Pigs                                | Guitar Hero 2   
    • 5  | Ziggy Stardust                          | Guitar Hero 1   
    • 5  | Toys In The Attic                       | Guitar Hero: A  
    • 5  | Godzilla                                | Guitar Hero 1   
    • 5  | Let The Music Do The Talking            | Guitar Hero: A  
    • 5  | Nobody's Fault                          | Guitar Hero: A  
    • 5  | Shakin' My Cage                         | Guitar Hero: A  
    • 5  | Love In An Elevator                     | Guitar Hero: A  
    • 6  | Hell Bent For Leather                   | Guitar Hero: M  
    • 6  | Sad But True                            | Guitar Hero: M  
    • 6  | Back Round                              | Guitar Hero 5   
    • 6  | Slow Hands                              | Guitar Hero 6   
    • 6  | Back In The Saddle                      | Guitar Hero: SH 
    • 6  | Nearly Lost You                         | Guitar Hero 5   
    • 6  | I'm Broken                              | Guitar Hero 6   
    • 6  | Welcome To The Jungle                   | Guitar Hero 3   
    • 6  | Loss Of Control                         | Guitar Hero: VH 
    • 6  | Sneak Out                               | Guitar Hero 5   
    • 6  | Paranoid (Live)                         | Guitar Hero 6   
    • 6  | Stop!                                   | Guitar Hero: SH 
    • 6  | In The Belly Of A Shark                 | Guitar Hero 3   
    • 6  | 2112 Pt. 7 - Grand Finale               | Guitar Hero 6   
    • 6  | Looks That Kill                         | Guitar Hero 5   
    • 6  | Everybody Wants Some!!                  | Guitar Hero: VH 
    • 6  | Rock & Roll All Nite                    | Guitar Hero 3   
    • 6  | Renegade                                | Guitar Hero 6   
    • 6  | Killing In The Name                     | Guitar Hero: SH 
    • 6  | 20th Century Boy                        | Guitar Hero 5   
    • 6  | It's Only Another Parsec                | Guitar Hero 6   
    • 6  | My Curse                                | Guitar Hero 3   
    • 6  | Play That Funky Music                   | Guitar Hero 5   
    • 6  | Mean Street                             | Guitar Hero: VH 
    • 6  | Pour Some Sugar On Me (Live)            | Guitar Hero 6   
    • 6  | Radar Love                              | Guitar Hero: 80s
    • 6  | Round And Round                         | Guitar Hero: SH 
    • 6  | Spiderwebs                              | Guitar Hero: WT 
    • 6  | Sympathy for the Devil                  | Guitar Hero 5   
    • 6  | Suck My Kiss                            | Guitar Hero 3   
    • 6  | Sweet Child O' Mine                     | Guitar Hero 2   
    • 6  | Tick Tick Boom                          | Guitar Hero 6   
    • 6  | Heartbreaker                            | Guitar Hero: WT 
    • 6  | Feel Your Love Tonight                  | Guitar Hero: VH 
    • 6  | Disconnected                            | Guitar Hero 5   
    • 6  | Pride & Joy                             | Guitar Hero 3   
    • 6  | I Wanna Rock                            | Guitar Hero: SH 
    • 6  | Mother                                  | Guitar Hero 2   
    • 6  | Suffocated                              | Guitar Hero 6   
    • 6  | La Bamba                                | Guitar Hero: WT 
    • 6  | We're an American Band                  | Guitar Hero 5   
    • 6  | I'm In The Band                         | Guitar Hero 3   
    • 6  | Nothin' But A Good Time                 | Guitar Hero: 80s
    • 6  | Do It Again                             | Guitar Hero: WT 
    • 6  | Freya                                   | Guitar Hero 2   
    • 6  | YYZ                                     | Guitar Hero: SH 
    • 6  | Crossroads                              | Guitar Hero 1   
    • 6  | Rebel Yell                              | Guitar Hero: WT 
    • 6  | Push Push (Lady Lightning)              | Guitar Hero 2   
    • 6  | Vicarious                               | Guitar Hero: WT 
    • 6  | You Really Got Me                       | Guitar Hero 2   
    • 6  | All of This                             | Guitar Hero 1   
    • 6  | Them Bones                              | Guitar Hero 2   
    • 6  | You've Got Another Thing Comin          | Guitar Hero 1   
    • 6  | Fly On The Wall                         | Guitar Hero 1   
    • 6  | Cheat on the Church                     | Guitar Hero 1   
